любовь/любить 	爱	ài
заказать такси	打车	dǎchē
звонить по телефону	打电话	dǎ diànhuà
открыть/пробить/включить прибор	打开	dǎkāi
играть в мяч	打球	dǎqiú
большой/крупный/во множестве	大	dà
университет	大学	dàxué
студент университета	大学生	dàxuéshēng
доходить до/присутствовать в/в/по	到	dào
получить	得到	dédào
земной шар/земной	地	dì
суффикс наречий/суффикс глаголов	地	de
притяжательная частица	的	de
точный/достоверный	的	dí
мишень	的	dì
такси	的	dī
степень/класс/группа/разряд	等	děng
подземный/под землёй	地	dì
географический пункт	地点	dìdiǎn
местоположение/местность/локальный	地方	dìfang
наземный	地上	dìshàng
географическая карта	地图	dìtú
младший брат	弟弟	dìdi
числительная частица/однако	第	dì
капля/каллиграфическая точка/пятно	点	diǎn
электричество/молния/удостоить вниманием	电	diàn
телефон	电话	diànhuà
компьютер	电脑	diànnǎo
телевидение	电视	diànshì
телевизор	电视机	diànshìjī
кино/фильм	电影	diànyǐng
кинотеатр	电影院	diànyǐngyuàn
восток	东	dōng
восточная сторона	东边	dōngbiān
с востока на запад/вещь/сволочь	东西	dōngxī
двигаться/трудиться	动	dòng
движение/поступок/операция	动作	dòngzuò
крупный город	都	dū
всё/итого/вообще	都	dōu
совсем/вот-вот	都	dou
заучивать/читать вслух	读	dú
читать/учиться	读书	dúshū
правильный/нормальный	对	duì
простите/обидеть	对不起	duìbuqǐ
много/побольше/почаще	多	duō
некоторое количество/сколько-нибудь	多少	duōshǎo
сколько?	多少	duōshao
голод	饿	è
родной сын/новорождённый	儿子	érzi
два	二	èr
пища/стол/кормить	饭	fàn
отель/ресторан	饭店	fàndiàn
комната	房间	fángjiān
дом/помещение	房子	fángzi
отпускать/распускать	放	fàng
каникулы/отпустить на каникулы	放假	fàngjià
закончить занятие	放学	fàngxué
летать/возноситься/высокий	飞	fēi
самолёт/воздушный	飞机	fēijī
необычный/неожиданный/несчастье	非常	fēicháng
разделять/раскалывать/разъяснять	分	fēn
доля/часть/подразделение/границы	分	fèn
ветер/обычай/ветряной	风	fēng
дуть/обвевать/оглашать/критиковать	风	fèng
сухой/чистый/только/истощённый	干	gān
чистый/непричастный/целиком	干净	gānjìng
ствол/стержневой/каркас	干	gàn
зачем?/что делает?	干什么	gànshénme
высокий/большой/особенный	高	gāo
радоваться/охотно идти на/вероятно	高兴	gāoxìng
сообщить/уведомить	告诉	gàosu
возбудить судебное дело	告诉	gàosù
старший брат	哥哥	gēge
песня	歌	gē
штука/единица/связка	个	gè
счётное слово	个	ge
давать/наносить удар/платить	给	gěi
достаточный/управиться/снабжать	给	jǐ
следовать позади/идти вслед	跟	gēn
рабочий/ремесленник	工人	gōngrén
работа/строительство/талант	工作	gōngzuò
закрывать/затворять/выключать	关	guān
запереть/выключить	关上	guānshàng
дорогой по цене	贵	guì
страна/родина	国	guó
государство	国家	guójiā
внешний/зарубежный	国外	guówài
миновать/переходить	过	guò
в конечном счёте/до сих пор	还是	háishi
ещё	还有	háiyǒu
ребёнок	孩子	háizi
китайский язык	汉语	hànyǔ
китайская письменность/китайский иероглиф	汉字	hànzì
хорошо/как следует/красивый/добрый	好	hǎo
любить поесть	好吃	hàochī
вкусный	好吃	hǎochī
хорошо выглядеть/достойный	好看	hǎokàn
мелодичный/приятный для слуха	好听	hǎotīng
забавный/интересный	好玩儿	hǎowánr
название/наименование	号	hào
кричать/жаловаться/рыдать	号	háo
пить/выпивать	喝	hē
кричать/зазывать	喝	hè
мирный/мягкий/дружественный/соответствующий	和	hé
очень/вполне	很	hěn
задняя сторона	后	hòu
сзади/позади	后边	hòubian
послезавтра/благоприобретённый	后天	hòutiān
цветок/хлопковый	花	huā
речь/язык/диалект	话	huà
плохой/испорченный/разрушенный	坏	huài
возвращаться/приходить домой/восстанавливаться	还	huán
ещё/всё ещё	还	hái
вращаться/разворачивать/быстрый	还	xuán
вращаться/кружиться/сгибаться	回	huí
отвечать	回答	huídá
вернуться к чему либо	回到	huídào
вернуться домой	回家	huíjiā
назад/вернуться	回来	huílai
уйти домой/возвратиться	回去	huíqu
общество/союз/комиссия/собрание	会	huì
сводить итог	会	kuài
поезд	火车	huǒchē
аэропорт	机场	jīchǎng
авиабилет	机票	jīpiào
куринное яйцо	鸡蛋	jīdàn
несколько	几	jǐ
мелкий/мягкий/момент	几	jī
помнить/записывать/описывать	记	jì
держать в памяти	记得	jìde
запоминать	记住	jìzhù
семья	家	jiā
в доме/внутри	家里	jiāli
члены семьи/народ	家人	jiārén
промежуток времени	间	jiān
удобное время	间	jiàn
видеть/становиться понятным	见	jiàn
показываться/выходить наружу	见	xiàn
встретиться	见面	jiànmiàn
обучать/воспитывать	教	jiào
кричать/реветь/называться	叫	jiào
учебный корпус	教学楼	jiàoxuélóu
старшая сестра	姐姐	jiějie
знакомить/сведения/справка	介绍	jièshào
в этом году	今年	jīnnián
сегодня	今天	jīntiān
входить/идти вперёд	进	jìn
входить к кому либо	进来	jìnlái
входить внутрь	进去	jìnqu
девять	九	jiǔ
устремляться к/подходить близко к	就	jiù
чувствовать/воспринимать/предполагать	觉得	juéde
открывать/включать/вскрывать	开	kāi
вести машину/отправляться	开车	kāichē
проводить собрание/заседать	开会	kāihuì
шутить/разыгрывать	开玩笑	kāi wánxiào
смотреть/берегись	看	kàn
лечить/лечиться	看病	kànbìng
обратить внимание на/обнаружить	看到	kàndào
увидеть	看见	kànjiàn
познавать/обдумывать	考	kǎo
экзамен/испытания/принимать экзамен	考试	kǎoshì
жаждать/хотеть пить	渴	kě
высыхать/иссякать/высохший	渴	jié
урок/задание	课	kè
учебник	课本	kèběn
текст к уроку	课文	kèwén
рот/отверстие/порт	口	kǒu
кусок/глыба	块	kuài
быстрый/весёлый	快	kuài
приходить/пришедший	来	lái
настать/прибыть	来到	láidào
старый	老	lǎo
старик/Канопус	老人	lǎorén
учитель	老师	lǎoshī
завершение действия/создание новой ситуации	了	le
завершать/улаживать/абсолютно	了	liǎo
смотреть вдаль/коситься	了	liào
уставать/утомляться/надрываться/задолжать	累	lèi
морозный/равнодушный/одинокий	冷	lěng
подкладка/внутри/изнанка	里	lǐ
в пределах/в течении	里边	lǐbian
оба	两	liǎng
раздробленный/разбросанный/ноль	零	líng
шесть	六	liù
башня/вышка	楼	lóu
наверху	楼上	lóushàng
под зданием/внизу	楼下	lóuxià
дорога/улица	路	lù
перекрёсток	路口	lùkǒu
в пути/на улице	路上	lùshang
мама	妈妈	māma
проезжая дорога	马路	mǎlù
немедленно	马上	mǎshàng
конечная частица в вопросе	吗	ma
что?/какой? [вм.  шенме?]	吗	má
купить/покупать	买	mǎi
медленный/ленивый/тщетный	慢	màn
срочный/занятый	忙	máng
шерсть	毛	máo
отрицание действия в прошлом	没	méi
ничего страшного/пустяки	没关系	méiguānxi
не имеет значения	没什么	méi shénme
быть свободным/всё спокойно	没事儿	méishìr
не иметь/отрицание перед глаголом	没有	méiyǒu
младшая сестра	妹妹	mèimei
ворота/вход/жерло	门	mén
дверной проём/подъезд	门口	ménkǒu
входной билет	门票	ménpiào
суффикс множественного числа	们	men
варёный рис	米饭	mǐfàn
хлеб/булка	面包	miànbāo
лапша	面条儿	miàntiáor
имя человека/название	名字	míngzi
понимать/очевидный/умный	明白	míngbai
в будущем году	明年	míngnián
завтра	明天	míngtiān
брать/получать	拿	ná
какой?/который?/любой	哪	nǎ
где/куда/откуда/разве	哪里	nǎlǐ
где/куда	哪儿	nǎr
которые/какие	哪些	nǎxiē
тот/этот/то/это	那	nà
какой же?/какой? [устар] 	那	nǎ
где?/в каком месте	那边	nǎbiān
та сторона/туда	那边	něibiān
там/туда	那里	nàli
там/туда	那儿	nàr
какие?/которые?	那些	nàxiē
грудь/молоко/кормить грудью	奶	nǎi
бабушка	奶奶	nǎinai
человек мужского пола/муж	男	nán
мальчик	男孩儿	nánháir
бойфренд	男朋友	nánpéngyou
мужчина	男人	nánrén
студент/ученик	男生	nánshēng
юг	南	nán
южная сторона	南边	nánbian
трудный/грубый	难	nán
укорять/обвинять	难	nàn
заискивающий	难	nuó
конечная модальная частица	呢	ne
сукно	呢	ní
мочь/уметь/возможно	能	néng
хорошо переносить/выдерживать	能	nài
ты/твой	你	nǐ
вы [множ]	你们	nǐmen
год/ежегодный/возраст	年	nián
Вы [ув]	您	nín
молоко	牛奶	niúnǎi
человек женского пола	女	nǚ
дочь/девочка	女儿	nǚ’ér
девушка	女儿	nǚr
девочка	女孩儿	nǚháir
гёрлфренд	女朋友	nǚpéngyou
женщина	女人	nǚrén
жена	女人	nǚren
ученица/студентка	女生	nǚshēng
в стороне/сбоку/около	旁边	pángbiān
бежать/мчаться	跑	pǎo
рыть когтями	跑	páo
друг	朋友	péngyou
лицензия/талон/ордер	票	piào
семь	七	qī
подниматься/выпрямляться	起	qǐ
подъём/просыпаться	起床	qǐchuáng
начинать/вставать с постели	起来	qǐlái
автомобиль	汽车	qìchē
перёд/передняя часть	前	qián
передний край/впереди	前边	qiánbian
позавчера	前天	qiántiān
деньги/монета	钱	qián
кошелёк/портмоне	钱包	qiánbāo
просить/просьба	请	qǐng
приобретать/получать	请	qīng
отпрашиваться с работы/просить отпуск	请假	qǐngjià
приглашать/входите!	请进	qǐngjìn
позвольте узнать	请问	qǐngwèn
просить сесть	请坐	qǐngzuò
сфера/шарик/луковица	球	qiú
уходить/уезжать	去	qù
прошлый год	去年	qùnián
жаркий/горячий/любящий	热	rè
человечество	人	rén
знать/узнавать/знакомиться	认识	rènshi
серьёзный/добросовестный	认真	rènzhēn
солнечный диск/день	日	rì
срок/дата	日期	rìqī
мясомясо/мякоть/плоть	肉	ròu
три	三	sān
гора/дикий/дикая растительность	山	shān
торговый центр	商场	shāngchǎng
лавка/магазин	商店	shāngdiàn
верхний/старший	上	shàng
выходить на работу	上班	shàngbān
верхняя сторона/начальство	上边	shàngbian
садиться в машину/грузиться в поезд	上车	shàngchē
в прошлый раз/предыдущий	上次	shàngcì
посещать школу/преподаватель	上课	shàngkè
выйти в интернет	上网	shàngwǎng
утром/до полудня	上午	shàngwǔ
ходить в школу	上学	shàngxué
мало/немного	少	shǎo
молодой/младший/молодой человек	少	shào
относительное местоимение	谁	shéi
тело/корпус	身上	shēnshang
корпус/телосложение/личность/здоровье	身体	shēntǐ
что?/какой?	什么	shénme
заболевать	生病	shēngbìng
жизненная энергия/сердиться	生气	shēngqì
день рождения	生日	shēngri
десять	十	shí
время	时候	shíhou
промежуток времени	时间	shíjiān
счётное слово/дело/событие	事	shì
пробовать/пытаться	试	shì
быть/являться	是	shì
есть ли?/не так ли?	是不是	shìbushì
рука/ладонь	手	shǒu
мобильный телефон	手机	shǒujī
книга/письмо	书	shū
портфель для книг/связка книг	书包	shūbāo
книжный магазин	书店	shūdiàn
дерево/растение/экран	树	shù
вода/река/течение	水	shuǐ
фрукты	水果	shuǐguǒ
уснуть/спящий	睡	shuì
ложиться спать	睡觉	shuìjiào
говорить/беседовать/заявлять	说	shuō
благоволить к/уважать/радостный/простой	说	yuè
делать привал/убеждать	说	shuì
разговаривать/рассказывать	说话	shuōhuà
четыре	四	sì
посылать/отправлять	送	sòng
ежегодны/возраст/жизнь	岁	suì
он/его	他	tā
они/их	他们	tāmen
она/её	她	tā
они	她们	tāmen
слишком/чересчур/весьма	太	tài
небо/астрономический/небесный	天	tiān
погода	天气	tiānqì
слушать/повиноваться/разрешать	听	tīng
дослушать до	听到	tīngdào
услышать	听见	tīngjiàn
диктант	听写	tīngxiě
одноклассник/товарищ	同学	tóngxué
библиотека	图书馆	túshūguǎn
внешняя часть/наружная сторона	外	wài
внешняя сторона/окраны/вне чего либо	外边	wàibian
заграница/иноземный	外国	wàiguó
иностранный язык	外语	wàiyǔ
играть/развлекаться	玩儿	wánr
вечер/конец века/поздний	晚	wǎn
ужин	晚饭	wǎnfàn
вечер/вечером	晚上	wǎnshang
интернет	网上	wǎngshàng
сетевой друг/пользователь интернета	网友	wǎngyǒu
забывать/упускать/терять/пренебрегать	忘	wàng
забыть	忘记	wàngjì
спрашивать	问	wèn
я/сам/личный	我	wǒ
мы/наш	我们	wǒmen
пять	五	wǔ
обед/полдник	午饭	wǔfàn
запад	西	xī
западная сторона	西边	xībiān
мыть/отмывать/полоскать/смывать	洗	xǐ
туалет	洗手间	xǐshǒujiān
весёлый/нравиться/любить что-то	喜欢	xǐhuan
низкий/внизу/подчинённый/худший	下	xià
прийти с работы	下班	xiàbān
низ/снизу/внизу/нижний край	下边	xiàbian
сойти с поезда/высадка	下车	xiàchē
в следующий раз	下次	xiàcì
конец занятия/уйти с должности	下课	xiàkè
вторая половина дня/после полудня	下午	xiàwǔ
идёт дождь	下雨	xiàyǔ
прежний/предыдущий	先	xiān
указывать дорогу/опережать	先	xiàn
господин/муж/наставник/учёный	先生	xiānsheng
теперь/сейчас/современный	现在	xiànzài
думать/полагать/ожидать/хотеть	想	xiǎng
маленький	小	xiǎo
младенец	小孩儿	xiǎoháir
барышня/проститутка	小姐	xiǎojiě
ребёнок	小朋友	xiǎopéngyou
час/детские годы	小时	xiǎoshí
начальная школа	小学	xiǎoxué
ученик начальной школы	小学生	xiǎoxuéshēng
смеяться/высмеивать	笑	xiào
писать/повествовать/сочинять	写	xiě
спасибо!	谢谢	xièxie
новый/молодой/заново	新	xīn
Новый год	新年	xīnnián
неделя/день недели	星期	xīngqī
воскресенье	星期日	xīngqīrì
воскресенье*	星期天	xīngqītiān
идти/ходить/путешествовать	行	xíng
ряд/шеренга/порядок/предприятие	行	 háng
отдыхать/передышка	休息	xiūxi
учиться/познавать науки	学	xué
ученик/студент	学生	xuésheng
заниматься/обучаться/учёба	学习	xuéxí
школа/училище/школьный	学校	xuéxiào
академия/колледж	学院	xuéyuàn
надо/должен/намереваться	要	yào
принуждать/договариваться/обобщать	要	yāo
дедушка	爷爷	yéye
тоже/всё равно/и	也	yě
лист/страница	页	yè
один/одинаковый/единый	一	yī
одежда	衣服	yīfu
врач	医生	yīsheng
больница	医院	yīyuàn
половина/пополам/наполовину	一半	yībàn
в какое то время/вскоре	一会儿	yīhuìr
вместе/совместно	一块儿	yīkuàir
один удар	一下儿	yīxiàr
одна штука/одного рода/точно как	一样	yīyàng
одна сторона	一边	yībiān
немного	一点儿	yīdiǎnr
вместе/совместно	一起	yīqǐ
немного/до некоторой степени	一些	yīxiē
применять/употреблять	用	yòng
обладать/иметь	有	yǒu
в придачу/и	有	yòu
имеется/бывает/некоторые	有的	yǒude
известный/популярный	有名	yǒumíng
время от времени/порой	有时候	yǒushíhou
некоторый	有一些	yǒuyīxiē
полезный	有用	yǒuyòng
правый/правосторонний	右	yòu
правая сторона	右边	yòubian
дождь	雨	yǔ
падать с неба/сыпаться/лить	雨	yù
голова/основа/корень/начало	元	yuán
далёкий/издали/глубокий	远	yuǎn
избегать/отгонять/отдалять от себя	远	yuàn
луна	月	yuè
снова/ещё/затем	再	zài
до свидания	再见	zàijiàn
жить/быть дома	在	zài
на дому	在家	zàijiā
утренний/рано	早	zǎo
завтрак	早饭	zǎofàn
утром/спозаранку	早上	zǎoshang
как?/каким образом?	怎么	zěnme
стоять на ногах/встать неподвижно/поддержать	站	zhàn
посещать кого-либо/дополнить	找	zhǎo
найти	找到	zhǎodào
это/этот	这	zhè
здесь/тут/в этих местах	这边	zhèbiān
здешний	这里	zhèlǐ
сюда/отстюда/с этих пор	这儿	zhèr
эти	这些	zhèxiē
надевать/носить/касаться	着	zhuó
засыпать/загораться	着	zháo
стратегия/трюк/средство	着	zhāo
истинный/верный/достоверный	真	zhēn
подлинный/действительный/в самом деле	真的	zhēnde
прямой/правильный/справедливый	正	zhèng
быть в процессе/как раз в	正在	zhèngzài
узнавать/познавать путь	知道	zhīdào
познание/эрудиция/интеллект	知识	zhīshi
внутри/в/центральный	中	zhōng
Китай	中国	zhōngguó
посередине/среди/средний	中间	zhōngjiān
китайский язык	中文	zhōngwén
полдень	中午	zhōngwǔ
средняя школа	中学	zhōngxué
учащийся средней школы	中学生	zhōngxuéshēng
веский/тяжёлый/грубый	重	zhòng
важный/серьёзный/ответственный	重要	zhòngyào
проживать/иметь постоянное жительство в	住	zhù
подготовить/готовиться/планировать/резервный	准备	zhǔnbèi
стол	桌子	zhuōzi
знак письменного языка/слово/буква	字	zì
сын/потомок/дочь	子	zǐ
идти пешком/ходить/действовать	走	zǒu
идти по дороге/увольнять	走路	zǒulù
наиболее/самый/в высшей степени	最	zuì
наилучший	最好	zuìhǎo
окончательный/наконец/в итоге	最后	zuìhòu
вчера	昨天	zuótiān
левый/левосторонний	左	zuǒ
левая сторона	左边	zuǒbian
сидеть/усаживаться	坐	zuò
садиться/сесть	坐下	zuò xia
делать работу/создавать	做	zuò
